"","N","prior","delta","lambda","delta_median","lambda_median","b0_median","b1_median","bf10","sdr10"
"80",30,3,0,0.333333333333333,2.73439041732623,0.416555608888554,-0.157932763563843,-0.473022713562712,0.443680206388446,0.548
"81",30,4,0,0.333333333333333,4.25525963581459,0.428496213385774,-0.157978136662966,-0.481961320699077,0.422321476277326,0.552
"82",30,2,0,0.333333333333333,1.94861992263528,0.433429372133578,-0.227457156120549,-0.00362331037162041,1.38528984587527,1.114
"83",30,3,0,0.333333333333333,2.97740153889716,0.443129530555891,-0.231108914315147,-0.00361491793355238,1.39981760909438,0.664
"84",30,4,0,0.333333333333333,4.64782575856498,0.45626734129252,-0.233317335275464,-0.00358640751814233,1.37421312238336,0
"85",30,2,0,0.333333333333333,1.70006963603883,0.496248954932212,0.136876169735943,0.141663167357053,0.39395486268101,0.416
"86",30,3,0,0.333333333333333,2.6938156742865,0.515049662179968,0.135168969254327,0.140444330025068,0.373138711317808,0.383
"87",30,4,0,0.333333333333333,4.27702721817638,0.535099055701913,0.132482715550506,0.141358022934225,0.351758948725786,0
"88",30,2,0,0.333333333333333,1.54360660744491,0.526675552414029,-0.332113236999982,-0.0951662298253314,0.238683480543042,0.248
"89",30,3,0,0.333333333333333,2.5239256755807,0.562760243324509,-0.334606238545663,-0.0944389577780793,0.212652490232143,0
"90",30,4,0,0.333333333333333,4.00726733983477,0.598917597365202,-0.3306408181998,-0.0944817554860153,0.197935948856899,0.256
"91",30,2,0,0.333333333333333,1.82114950007928,0.354898122640059,0.00414737428836692,-0.0702053103069442,2.2689244021031,2.292
"92",30,3,0,0.333333333333333,2.71929808979759,0.361994017212423,0.000965955707572349,-0.0698476471515422,2.25223728727265,0.89
"93",30,4,0,0.333333333333333,4.28203830148639,0.373956097648248,0.00557425374831546,-0.070870935867662,2.17753501155044,0.565
"94",30,2,0,0.333333333333333,1.55810492651867,0.578526438260868,0.273756689000042,0.00897203480207253,0.213561731615972,0.24
"95",30,3,0,0.333333333333333,2.56839448583104,0.623539245473786,0.276478694492093,0.00909072056366728,0.189209684581179,0
"96",30,4,0,0.333333333333333,4.07851627342818,0.646420612433357,0.273863803038305,0.0090764116583633,0.176854369799841,0
"97",30,2,0,0.333333333333333,1.62563677103421,0.510765527670148,0.101166143066535,0.0798152792738208,0.289727686428272,0.334
"98",30,3,0,0.333333333333333,2.61986633534671,0.546122851211766,0.0996554309792651,0.0797980124423848,0.267776521925911,0.36
"99",30,4,0,0.333333333333333,4.17245712111574,0.563031338711112,0.101173505630277,0.0805961187699811,0.252395885662493,0.32
"100",30,2,0,0.333333333333333,1.57314100630618,0.50199088740997,-0.0154556224165365,-0.0666056464861387,0.257701526552,0.324
"101",30,3,0,0.333333333333333,2.53283238928829,0.52508545387619,-0.015721050123747,-0.068119063917364,0.232214498833344,0.246
"102",30,4,0,0.333333333333333,4.0928693158226,0.561844351392787,-0.0134100834528571,-0.0672628911049782,0.218515235428977,0.279
"103",30,2,0,0.333333333333333,1.58292106764109,0.312805476787159,0.394309736065436,0.0865801223804195,0.637381490681542,0.459
"104",30,3,0,0.333333333333333,2.51074742145588,0.330688631717417,0.391278058123413,0.0882431218969079,0.607292044817264,0
"105",30,4,0,0.333333333333333,3.88846170408873,0.345554886188129,0.395387816608951,0.0876237255464721,0.561027505871768,0
"106",30,2,0,0.333333333333333,1.55501203912809,0.497845840918596,0.10751456707373,-0.0266580434228644,0.254011340497336,0.294
"107",30,3,0,0.333333333333333,2.57198726725168,0.537600184002881,0.115820104431225,-0.0269908089751554,0.232734647367076,0.263
"108",30,4,0,0.333333333333333,4.09396816235522,0.568675034896043,0.114252793278043,-0.0270324347917515,0.215071044106563,0.336
"109",30,2,0,0.333333333333333,1.53994894289168,0.493245548796097,-0.122732923276148,-0.351234502612256,0.251635658351724,0.294
"110",30,3,0,0.333333333333333,2.48239315884042,0.545516676788181,-0.124337596978374,-0.349368258094326,0.223723251526543,0.266
"111",30,4,0,0.333333333333333,4.06591919823054,0.560486465144367,-0.122936170138383,-0.346017744272312,0.21065849161662,0.35
"112",30,2,0,0.333333333333333,1.57393240278834,0.486744022874465,-0.0800578429519106,0.336738340258818,0.303585766226612,0.306
"113",30,3,0,0.333333333333333,2.53669922149129,0.522241768469332,-0.0827093346152002,0.334612917579066,0.280065192316095,0.29
"114",30,4,0,0.333333333333333,4.08500732862541,0.543159849168802,-0.0879836663779616,0.336721817211518,0.259073880840107,0.307
"115",30,2,0,0.333333333333333,1.7916631929219,0.456016389794774,-0.22902278722889,-0.098656581229643,0.543503334739481,0.499
"116",30,3,0,0.333333333333333,2.79031467910958,0.477266778249582,-0.228341694220519,-0.0983729656641527,0.533562714465763,0.54
"117",30,4,0,0.333333333333333,4.33200381309679,0.484439436020454,-0.231807032474783,-0.0989618701393883,0.509199393183646,0
"118",30,2,0,0.333333333333333,1.71262518893693,0.414594918978844,-0.111399973850635,0.0363880194108949,0.531658890050436,0.461
"119",30,3,0,0.333333333333333,2.67001503102332,0.431799185985677,-0.111068557415152,0.0361131928597374,0.508058413311899,0.491
"120",30,4,0,0.333333333333333,4.25766521976997,0.447527774829744,-0.109489538646715,0.0358922854794572,0.478999486971112,0.35
"121",30,2,0,0.333333333333333,1.74529834534185,0.451344619068702,0.192444361509025,-0.387644578240129,0.476361863709302,0
"122",30,3,0,0.333333333333333,2.74197532261858,0.47406024195495,0.196111828536326,-0.385338385442293,0.453163047327326,0
"123",30,4,0,0.333333333333333,4.40239676339394,0.481706865317591,0.190800695670138,-0.388043600394609,0.433320591513828,0.484
"124",30,2,0,0.333333333333333,1.556350621072,0.443537967644403,0.0563629577133598,-0.563878409940361,0.306037284176921,0.327
"125",30,3,0,0.333333333333333,2.49759078615617,0.480925916971187,0.0552493927245645,-0.552787320112009,0.280438861873959,0.323
"126",30,4,0,0.333333333333333,4.05175156331348,0.495994964093388,0.0543637363740504,-0.561601515008501,0.260690854460733,0
"127",30,2,0,0.333333333333333,1.76869082469351,0.465353392856098,-0.140497892244816,0.0233105952878811,0.674300937988,0.706
"128",30,3,0,0.333333333333333,2.73913534046647,0.486718750193832,-0.138838797808335,0.0231049469568597,0.643785350431247,0.537
