epsilon,prior0,post0,log_bf10,method,post0_mcse,delta_true,N,order,replicate
0.22,0.060346177603640506,0.002,3.4069504278383684,ecdf,8.156796756897485e-4,1,500,d0,1
0.23,0.06308209202892474,0.0023333333333333335,3.297139065852129,ecdf,8.808875995057276e-4,1,500,d0,1
0.24000000000000002,0.06581706269135969,0.003,3.088266827466607,ecdf,9.984988733093294e-4,1,500,d0,1
0.25,0.06855104900399345,0.0033333333333333335,3.0236059043223174,ecdf,0.0010523342660045845,1,500,d0,1
0.26,0.07128401043656375,0.004,2.8803776835991743,ecdf,0.0011523888232710345,1,500,d0,1
0.27,0.07401590651780321,0.005666666666666667,2.569678967660276,ecdf,0.0013704689654221234,1,500,d0,1
0.28,0.07674669683773747,0.007333333333333333,2.348080182906153,ecdf,0.0015577286408481159,1,500,d0,1
0.29000000000000004,0.07947634104997642,0.008333333333333333,2.255195844313821,ecdf,0.0016597076940321838,1,500,d0,1
0.3,0.08220479887399783,0.011333333333333334,1.9814654448722702,ecdf,0.0019326052268797585,1,500,d0,1
0.31,0.08493203009742345,0.013333333333333334,1.8515841252444893,ecdf,0.0020940833758915107,1,500,d0,1
0.32,0.08765799457828682,0.014333333333333333,1.810854990430955,ecdf,0.002170091310589556,1,500,d0,1
0.33,0.09038265224729335,0.018333333333333333,1.5953314524993027,ecdf,0.002449300731652623,1,500,d0,1
0.34,0.0931059631100714,0.019,1.5892992536569588,ecdf,0.0024925890154616345,1,500,d0,1
0.35000000000000003,0.09582788724941517,0.021333333333333333,1.5022829465611667,ecdf,0.0026380688784426016,1,500,d0,1
0.36000000000000004,0.09854838482751818,0.02266666666666667,1.4696522275857318,ecdf,0.0027174061706517665,1,500,d0,1
0.37,0.1012674160881978,0.026,1.3596681639206467,ecdf,0.002905397276334741,1,500,d0,1
0.38,0.10398494135911003,0.028333333333333332,1.3002071262114703,ecdf,0.0030293319151013893,1,500,d0,1
0.39,0.10670092105395497,0.031,1.2360425859685749,ecdf,0.0031643324730502007,1,500,d0,1
0.4,0.10941531567467178,0.03333333333333333,1.1885929798954802,ecdf,0.0032773069341672503,1,500,d0,1
0.41000000000000003,0.11212808581362389,0.036,1.1361229027358897,ecdf,0.00340117626711701,1,500,d0,1
0.42000000000000004,0.11483919215577354,0.04,1.054653366594623,ecdf,0.0035777087639996636,1,500,d0,1
0.43,0.11754859548084554,0.043666666666666666,0.9902667921115197,ecdf,0.0037309466577482666,1,500,d0,1
0.44,0.1202562566654803,0.04733333333333333,0.9324101691813457,ecdf,0.003876978586858968,1,500,d0,1
0.45,0.12296213668537552,0.051333333333333335,0.8735361624107404,ecdf,0.004028987557779341,1,500,d0,1
0.46,0.12566619661741654,0.056666666666666664,0.7964430099457924,ecdf,0.00422119870635327,1,500,d0,1
0.47000000000000003,0.12836839764179495,0.060333333333333336,0.755019494079506,ecdf,0.004347153176590485,1,500,d0,1
0.48000000000000004,0.13106870104411555,0.06433333333333334,0.711643720947428,ecdf,0.0044793807442381865,1,500,d0,1
0.49,0.13376706821749096,0.06766666666666667,0.6815063001016662,ecdf,0.004585771068893027,1,500,d0,1
0.5,0.13646346066462398,0.074,0.6119917981475149,ecdf,0.004779260751762069,1,500,d0,1
0.51,0.1391578399998776,0.07966666666666666,0.5577575651973595,ecdf,0.004943679091826548,1,500,d0,1
0.52,0.1418501679513319,0.082,0.5480520979964759,ecdf,0.005009191551538033,1,500,d0,1
0.53,0.1445404063628282,0.08633333333333333,0.5153433242407099,ecdf,0.005127698928008186,1,500,d0,1
0.54,0.14722851719599986,0.092,0.47019734143340414,ecdf,0.005276867757802286,1,500,d0,1
0.55,0.14991446253228985,0.09833333333333333,0.4217018139855641,ecdf,0.005436416984524791,1,500,d0,1
0.56,0.15259820457495465,0.102,0.40283553993300886,ecdf,0.00552557689295878,1,500,d0,1
0.5700000000000001,0.155279705651054,0.10733333333333334,0.36928878638151325,ecdf,0.0056513387466714145,1,500,d0,1
0.5800000000000001,0.157958928213427,0.11133333333333334,0.34980634690974927,ecdf,0.005742770011711021,1,500,d0,1
0.59,0.16063583484265387,0.11633333333333333,0.32268027411356115,ecdf,0.005853770548085194,1,500,d0,1
0.6,0.16331038824900315,0.121,0.29986206686342304,ecdf,0.005954242185198718,1,500,d0,1
0.61,0.16598255127436423,0.12433333333333334,0.2889165390510646,ecdf,0.0060242442279939586,1,500,d0,1
0.62,0.16865228689416528,0.12966666666666668,0.2628720664663665,ecdf,0.006133330314008919,1,500,d0,1
0.63,0.171319558219276,0.13433333333333333,0.24320630077788008,ecdf,0.006225964152613604,1,500,d0,1
0.64,0.17398432849789494,0.139,0.22449129592359007,ecdf,0.0063160905629986025,1,500,d0,1
0.65,0.17664656111742183,0.142,0.21832384880479175,ecdf,0.006372754506490894,1,500,d0,1
0.66,0.1793062196063141,0.14766666666666667,0.1941375868996659,ecdf,0.006477170735802843,1,500,d0,1
0.67,0.18196326763592735,0.15566666666666668,0.15608787153014078,ecdf,0.006619027006933763,1,500,d0,1
0.68,0.18461766902234059,0.16133333333333333,0.13481441462043414,ecdf,0.006715774685740256,1,500,d0,1
0.6900000000000001,0.18726938772816468,0.165,0.12660268240616535,ecdf,0.006776798654231953,1,500,d0,1
0.7000000000000001,0.18991838786433443,0.169,0.11669572740359653,ecdf,0.006842002630809199,1,500,d0,1
0.7100000000000001,0.1925646336918852,0.174,0.10137655759708838,ecdf,0.006921560517686744,1,500,d0,1
0.72,0.1952080896237114,0.178,0.09228256557260331,ecdf,0.006983695296904068,1,500,d0,1
0.73,0.1978487202263096,0.18233333333333332,0.08166618565284876,ecdf,0.007049536365106784,1,500,d0,1
0.74,0.20048649022150355,0.18766666666666668,0.06607952456350041,ecdf,0.007128531613380344,1,500,d0,1
0.75,0.20312136448815293,0.19166666666666668,0.0580459028901139,ecdf,0.007186342499388581,1,500,d0,1
0.76,0.2057533080638442,0.19533333333333333,0.05197041659360244,ecdf,0.007238282996729317,1,500,d0,1
0.77,0.2083822861465646,0.20066666666666666,0.03772915032914055,ecdf,0.007312080314009038,1,500,d0,1
0.78,0.21100826409635792,0.20466666666666666,0.030514659563502786,ecdf,0.007366098520072034,1,500,d0,1
0.79,0.21363120743696332,0.209,0.021916946682311318,ecdf,0.007423364017299255,1,500,d0,1
0.8,0.21625108185743552,0.21166666666666667,0.021427438383843016,ecdf,0.007457968644094469,1,500,d0,1
0.81,0.2188678532137475,0.21566666666666667,0.014734131875750315,ecdf,0.007508984741751168,1,500,d0,1
0.8200000000000001,0.22148148753037505,0.22066666666666668,0.0036857409825073904,ecdf,0.007571281020824435,1,500,d0,1
0.8300000000000001,0.2240919510018628,0.22466666666666665,-0.0025613590753729427,ecdf,0.0076199640321888565,1,500,d0,1
0.8400000000000001,0.226699209994372,0.22833333333333333,-0.0071824768931797985,ecdf,0.007663707158249681,1,500,d0,1
0.85,0.22930323104720982,0.23533333333333334,-0.025957668143803906,ecdf,0.007744924263790567,1,500,d0,1
0.86,0.2319039808743399,0.23966666666666667,-0.0329256585983861,ecdf,0.007793727297332464,1,500,d0,1
0.87,0.23450142636587423,0.24366666666666667,-0.03833950063014823,ecdf,0.00783779778216267,1,500,d0,1
