delta_true,N,order,replicate,log_bf10_bridge,bf10_bridge,bridge_alt_logml,bridge_null_logml
3,20,d1,9,1.8110098428577874,6.1166211406409525,8.165290386005669,6.3542805431478815
3,20,d2,9,1.85477376058114,6.390252360088035,8.203730682609082,6.348956922027942
3,20,d3,9,1.8699978032793858,6.488282146327915,8.219079102426933,6.349081299147548
3,50,d0,9,13.205880750859922,543552.0509418269,34.87925927536986,21.67337852450994
3,50,d1,9,13.35464328792153,630736.3894563942,35.02763209942122,21.67298881149969
3,50,d2,9,13.41487436982321,669893.7319939812,35.09006776169798,21.67519339187477
3,50,d3,9,13.407343301369583,664867.6660203849,35.088007093644336,21.680663792274753
3,100,d0,9,32.00359567299418,79247396229202.75,71.22508511094732,39.22148943795314
3,100,d1,9,32.193678628806445,95837831980993.05,71.42365692760237,39.22997829879592
3,100,d2,9,32.29119135420592,105654066992124.53,71.51653418103236,39.225342826826434
3,100,d3,9,32.28639417678229,105148439449414.33,71.50813466882519,39.221740492042905
3,200,d0,9,59.43937525501042,6519175625639486e10,151.33556142653637,91.89618617152595
3,200,d1,9,59.64454571872824,8003815727274749e10,151.53822094705507,91.89367522832683
3,200,d2,9,59.71446243457966,8583442954245728e10,151.6087027170781,91.89424028249844
3,200,d3,9,59.71215162534993,8563631154505061e10,151.60805568477713,91.8959040594272
3,20,d0,10,1.672050139463746,5.323069653364563,8.014190274924253,6.342140135460507
3,20,d1,10,1.8191507927733115,6.16661948788285,8.157768934764654,6.3386181419913425
3,20,d2,10,1.8752583339586968,6.522503886954259,8.215346482295498,6.340088148336801
3,20,d3,10,1.8572883428285412,6.406341395352607,8.208646682457047,6.351358339628506
3,50,d0,10,13.182596882281114,531042.2597538241,34.858454518391774,21.67585763611066
3,50,d1,10,13.366727769063445,638404.7522326282,35.03314390505442,21.66641613599098
3,50,d2,10,13.426184705732911,677513.4647667111,35.09837705638856,21.672192350655646
3,50,d3,10,13.443282819330854,689197.2678063698,35.10697391835732,21.663691099026465
3,100,d0,10,32.00536428837195,79387678408865.17,71.22440031889353,39.21903603052158
3,100,d1,10,32.20620353837784,97045740844028.19,71.42958114348696,39.223377605109114
3,100,d2,10,32.26649148698477,103076390745032.52,71.48995951201823,39.22346802503346
3,100,d3,10,32.276515087582126,104114782836526.61,71.49752122592908,39.22100613834695
3,200,d0,10,59.42889583667797,64512151720275545e9,151.33121730322952,91.90232146655156
3,200,d1,10,59.64788866796309,8030616849372185e10,151.55197272355127,91.90408405558819
3,200,d2,10,59.68686827298288,8349828069166008e10,151.59208887330473,91.90522060032185
3,200,d3,10,59.7289303889674,8708530513997855e10,151.61551770977312,91.88658732080572
3,20,d0,11,1.6596530265141434,5.257486319579178,8.003952306295746,6.344299279781603
3,20,d1,11,1.8165123432486405,6.150370618962718,8.14815451451709,6.33164217126845
3,20,d2,11,1.8627671714434513,6.441536969124295,8.203477672364452,6.340710500921
3,20,d3,11,1.8570755971010486,6.404978618559497,8.197753471251511,6.340677874150463
3,50,d0,11,13.209090394466767,545299.4620905055,34.871132626075564,21.662042231608797
3,50,d1,11,13.37102145443296,641151.7545386747,35.03467830618452,21.663656851751558
3,50,d2,11,13.425315366191601,676924.731463667,35.088242274214316,21.662926908022715
3,50,d3,11,13.431973113559629,681446.5612102466,35.09445595366441,21.66248284010478
3,100,d0,11,31.99056167333905,78221188020884.7,71.20864049404,39.218078820700946
3,100,d1,11,32.21571732963046,97973419638394.56,71.43563685989555,39.219919530265095
3,100,d2,11,32.2492858555672,101318066276117.81,71.48328152295315,39.23399566738595
3,100,d3,11,32.25321283830047,101716722819319.98,71.48879129219108,39.23557845389061
3,200,d0,11,59.427737633272045,6443747677916299e10,151.33187666789166,91.90413903461962
3,200,d1,11,59.64923529340889,8041438366997248e10,151.54413905258264,91.89490375917374
3,200,d2,11,59.70700539070653,8519673903361361e10,151.5957945767855,91.88878918607897
3,200,d3,11,59.72515575164796,8.6757209308164045e+25,151.61571552046522,91.89055976881725
3,20,d0,12,1.6650397377535668,5.285883294715126,7.999643990473821,6.334604252720254
3,20,d1,12,1.8345997167204615,6.262626818847164,8.164869515902357,6.330269799181895
3,20,d2,12,1.8356522133033275,6.269221682100497,8.182869426999078,6.3472172136957505
3,20,d3,12,1.871280723884814,6.496611438955418,8.206448047836382,6.335167323951568
3,50,d0,12,13.187173138437775,533478.014231862,34.857227548275404,21.67005440983763
3,50,d1,12,13.363017554210572,636040.5220518213,35.034351099349216,21.671333545138644
3,50,d2,12,13.410415975881413,666913.7297857003,35.08528251528826,21.67486653940685
3,50,d3,12,13.418029818798676,672010.8860133301,35.07739604007977,21.659366221281093
3,100,d0,12,31.999282581660303,78906331022716.7,71.2287538361777,39.2294712545174
3,100,d1,12,32.20672811922552,97096662536127.8,71.4338158310191,39.22708771179359
3,100,d2,12,32.26810794999509,103243144657364.89,71.49892812037307,39.230820170377974
3,100,d3,12,32.26179840786958,102593778443009.28,71.49370988645242,39.231911478582845
3,200,d0,12,59.41644532190983,6371392172121714e10,151.33127237745762,91.91482705554779
3,200,d1,12,59.618821429362896,7800548911679875e10,151.53726874346398,91.91844731410109
3,200,d2,12,59.715470863422766,8592103111536257e10,151.62075940762986,91.9052885442071
3,200,d3,12,59.68131571409985,830359363564352e11,151.5901248505998,91.90880913649995
3,20,d0,13,1.6783452433422994,5.356684623641456,8.01935517292175,6.341009929579451
3,20,d1,13,1.8176890002626624,6.157611755021663,8.168271423834835,6.350582423572172
3,20,d2,13,1.84893830733564,6.35307093196653,8.199350575387673,6.3504122680520325
3,20,d3,13,1.8783412848179681,6.5426434746452,8.216735908241391,6.338394623423423
3,50,d0,13,13.200496991874658,540633.56097623,34.872238314000455,21.671741322125797
3,50,d1,13,13.361498082500663,635074.8103438207,35.034770189396944,21.67327210689628
3,50,d2,13,13.414307860488535,669514.3384167145,35.08740841307882,21.673100552590284
3,50,d3,13,13.412930932648738,668593.0998700568,35.08275242572544,21.6698214930767
3,100,d0,13,31.99753069947556,78768217441819.19,71.22932733954116,39.231796640065596
3,100,d1,13,32.19766049150521,96220205844181.42,71.42946389871994,39.231803407214734
3,100,d2,13,32.28498337040975,105000199954176.39,71.50735940880817,39.22237603839842
3,100,d3,13,32.26844099473857,103277534970431.77,71.49952526584755,39.23108427110898
3,200,d0,13,59.446050367246244,6562837416181635e10,151.35082311826042,91.90477275101418
